id,name,year,release_date,director,creator,actors,full_cast,language,country,duration,rating_value,rating_count,review_count,genre,filming_locations,description
tt0087799,Night of the Comet,1984,16 November 1984 (USA),Thom Eberhardt,Thom Eberhardt,"Catherine Mary Stewart,Kelli Maroney,Robert Beltran","Robert Beltran,Catherine Mary Stewart,Kelli Maroney,Sharon Farrell,Mary Woronov,Geoffrey Lewis,Peter Fox,John Achorn,Michael Bowen,Devon Ericson,Lissa Layng,Ivan E. Roth,Janice Kawaye,Chance Boyer,Andrew Boyer",English,USA,95 min,6.4,"11,862","157 user,174 critic","Comedy,Horror,Sci-Fi","5515 Wilshire Blvd., Hancock Park, Los Angeles, California, USA","A comet wipes out most of life on Earth, leaving two Valley Girls to fight the evil types who survive."
tt0091209,The Hitcher,1986,21 February 1986 (USA),Robert Harmon,Eric Red,"Rutger Hauer,C. Thomas Howell,Jennifer Jason Leigh","Rutger Hauer,C. Thomas Howell,Jennifer Jason Leigh,Jeffrey DeMunn,John M. Jackson,Billy Green Bush,Jack Thibeau,Armin Shimerman,Gene Davis,Jon Van Ness,Henry Darrow,Tony Epper,Tom Spratley,Colin Campbell",English,USA,97 min,7.3,"32,246","234 user,83 critic",Thriller,"Roy's Motel and Cafe, Amboy, California, USA","A young man who escaped the clutches of a murderous hitch-hiker is subsequently stalked, framed for the hitcher's crimes, and has his life made into hell by the same man he escaped."
tt0106303,Arctic Blue,1993,1993 (Canada),Peter Masterson,Ross LaManna,"Rutger Hauer,Dylan Walsh,Rya Kihlstedt","Rutger Hauer,Dylan Walsh,Rya Kihlstedt,Johnny Cuthbert,John 'Bear' Curtis,Bill Croft,Richard Bradford,Kevin Cooney,Michael Lawrenchuk,Stephen E. Miller,Gunargie O'Sullivan,J.B. Bivens,Michael St. John Smith,Ron Chartier,Dan Shea",English,"USA,Canada",95 min,5.1,726,"6 user,3 critic","Action,Thriller","Britannia Beach, British Columbia, Canada","An environmentalist gets involved in transporting an accused killer (Ben) from an isolated Alaskan town to the authorities. Ben is determined to escape, and his fellow trappers are ready to..."
tt0089153,Flesh+Blood,1985,30 August 1985 (USA),Paul Verhoeven,"Gerard Soeteman,Gerard Soeteman","Rutger Hauer,Jennifer Jason Leigh,Tom Burlinson","Rutger Hauer,Jennifer Jason Leigh,Tom Burlinson,Jack Thompson,Fernando Hilbeck,Susan Tyrrell,Ronald Lacey,Brion James,John Dennis Johnston,Simón Andreu,Bruno Kirby,Kitty Courbois,Marina Saura,Hans Veerman,Jake Wood","English,Latin","Spain,USA,Netherlands",126 min,6.7,"12,240","101 user,65 critic","Adventure,Drama","Belmonte, Cuenca, Castilla-La Mancha, Spain",A band of medieval mercenaries take revenge on a noble lord who decides not to pay them by kidnapping the betrothed of the noble's son. As the plague and warfare cut a swathe of destruction...
tt1292655,The River Within,2009,11 September 2009 (USA),Zac Heath,Zac Heath,"Josh Odor,Craig Luttrell,Jaclyn Friedlander","Josh Odor,Craig Luttrell,Jaclyn Friedlander,Craig Morris,Maurice Mejia,Geoff Falk,Thomas Moore,Lydia Ditto,Natalie Smith,Jan Falk,Sarah Hill,Staci Harmon,Jan Ainley,Andrew Webb,Harold Williams",English,USA,102 min,5.1,154,"2 user,2 critic","Drama,Family","Hardy, Arkansas, USA","Jason returns home to study for the bar exam, but instead finds that his purpose in life was not what he'd originally thought."
tt0094293,Wanted: Dead or Alive,1987,16 January 1987 (USA),Gary Sherman,"Michael Patrick Goodman,Gary Sherman","Rutger Hauer,Gene Simmons,Robert Guillaume","Rutger Hauer,Gene Simmons,Robert Guillaume,Mel Harris,William Russ,Susan MacDonald,Jerry Hardin,Hugh Gillin,Robert Harper,Eli Danker,Joseph Nasser,Suzanne Wouk,Gerald Papasian,Nick Faltas,Hammam Shafie",English,USA,106 min,5.9,"2,859","34 user,25 critic","Action,Crime,Drama","San Pedro, Los Angeles, California, USA","This movie features a character who is a descendant of the character played by Steve McQueen in the television series of the same name. And like McQueen's Josh Randall, Hauer's Nick Randall..."
tt1629730,Charlotta-TS,2010,7 April 2010 (USA),Lewis Teague,"Laura Bayonas,Lewis Teague","Laura Bayonas,Jodie Fisher,Tim Lannen","Laura Bayonas,Jodie Fisher,Tim Lannen,Wendy Parks,Tom Bresnahan,Frank Cherry,Marcedes Farrandiz,Malina Germanova,Rodleen Getsic,Heather Kennedy,Jennifer Knighton,Gina Marie,Nicole Lyn Marinello,Mara New,Janet Lee Rodriguez",English,USA,108 min,6.1,18,1 user,Comedy,"Los Angeles, California, USA","Charlotta, an unusual young woman from Barcelona is trying to figure out who she really is, while her lawyer tries to keep her out of jail."
tt0096945,Blind Fury,1989,16 March 1990 (USA),Phillip Noyce,"Ryôzô Kasahara,Charles Robert Carner","Rutger Hauer,Terry O'Quinn,Brandon Call","Rutger Hauer,Terry O'Quinn,Brandon Call,Noble Willingham,Lisa Blount,Nick Cassavetes,Rick Overton,Randall 'Tex' Cobb,Charles Cooper,Meg Foster,Shô Kosugi,Paul James Vasquez,Julia Gonzalez,Woody Watson,Alex Morris",English,USA,86 min,6.2,"9,759","59 user,28 critic","Action,Comedy,Crime",Australia,"A blind Vietnam vet, trained as a swordfighter, comes to America and helps to rescue the son of a fellow soldier."
tt0100114,Marked for Death,1990,5 October 1990 (USA),Dwight H. Little,"Michael Grais,Mark Victor","Steven Seagal,Joanna Pacula,Basil Wallace","Steven Seagal,Basil Wallace,Keith David,Tom Wright,Joanna Pacula,Elizabeth Gracen,Bette Ford,Danielle Harris,Al Israel,Arlen Dean Snyder,Victor Romero Evans,Michael Ralph,Jeffrey Anderson-Gunter,Tony DiBenedetto,Kevin Dunn",English,USA,93 min,5.9,"14,100","92 user,38 critic","Action,Adventure,Crime","Pasadena, California, USA","Chicago DEA agent John Hatcher has just returned from Colombia, where his partner was killed in the line of duty by a drug dealer who has since been taken down. As a result of his partner's..."
tt0106950,Fortress,1992,3 September 1993 (USA),Stuart Gordon,"Troy Neighbors,Steven Feinberg","Christopher Lambert,Loryn Locklin,Kurtwood Smith","Christopher Lambert,Kurtwood Smith,Loryn Locklin,Clifton Collins Jr.,Lincoln Kilpatrick,Jeffrey Combs,Tom Towles,Vernon Wells,Carolyn Purdy-Gordon,Alan Zitner,Deni Gordon,Eric Briant Wells,Dragicia Debert,Heidi Stein,Harry Nurmi",English,"Australia,USA",95 min,5.8,"22,508","66 user,58 critic","Action,Crime,Sci-Fi","Queensland, Australia",A futuristic prison movie. Protagonist and wife are nabbed at a future US emigration point with an illegal baby during population control. The resulting prison experience is the subject of ...
tt0082817,Nighthawks,1981,4 April 1981 (USA),"Bruce Malmuth,Gary Nelson","David Shaber,David Shaber","Sylvester Stallone,Rutger Hauer,Billy Dee Williams","Sylvester Stallone,Billy Dee Williams,Lindsay Wagner,Persis Khambatta,Nigel Davenport,Rutger Hauer,Hilary Thompson,Joe Spinell,Walter Mathews,E. Brian Dean,Caesar Cordova,Charles Duval,Tony Munafo,Howard Stein,Tawn Christian","English,German,French,Swedish",USA,99 min,6.4,"11,727","106 user,35 critic","Action,Crime,Thriller","Arding & Hobbs department store, 315 Lavender Hill, Clapham Junction, Clapham, London, England, UK",Conservative street cop DaSilva reluctantly agrees to terminate an international terrorist who has demanded media attention. But DaSilva's 'at-home' tactics are very much put to the challenge.
tt0094764,The Blood of Heroes,1989,23 February 1990 (USA),David Webb Peoples,David Webb Peoples,"Rutger Hauer,Joan Chen,Delroy Lindo","Rutger Hauer,Delroy Lindo,Anna Katarina,Vincent D'Onofrio,Gandhi MacIntyre,Justin Monjo,Aaron Martin,Joan Chen,Casey Huang,Quang Dinh,John Doumtsis,John Biro,Brian Cawley,Gino Terranova,Cecilia Wong",English,"Australia,USA",90 min,6.5,"4,585","43 user,21 critic","Action,Sci-Fi,Sport","Coober Pedy, South Australia, Australia","A Mad Max-esque post apocalyptic world provides the backdrop for a brutal, futuristic game resembling football. Rutger Hauer plays a disgraced former star leading a rag tag group of '..."
tt0113409,In the Mouth of Madness,1994,3 February 1995 (USA),John Carpenter,Michael De Luca,"Sam Neill,Jürgen Prochnow,Julie Carmen","Sam Neill,Julie Carmen,Jürgen Prochnow,David Warner,John Glover,Bernie Casey,Peter Jason,Charlton Heston,Frances Bay,Wilhelm von Homburg,Kevin Rushton,Gene Mack,Conrad Bergschneider,Marvin Scott,Katherine Ashby",English,USA,95 min,7.2,"39,947","219 user,114 critic",Horror,"Cathedral of the Transfiguration, Markham, Ontario, Canada",An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.
tt0096344,The Unnamable,1988,September 1988 (Italy),Jean-Paul Ouellette,"H.P. Lovecraft,Jean-Paul Ouellette","Charles Klausmeyer,Mark Kinsey Stephenson,Alexandra Durrell","Charles Klausmeyer,Mark Kinsey Stephenson,Alexandra Durrell,Laura Albert,Eben Ham,Blane Wheatley,Mark Parra,Delbert Spain,Colin Cox,Paul Farmer,Paul Pajor,Marcel Lussier,Lisa Wilson,Nancy Kreisel,Katrin Alexandre",English,USA,87 min,4.9,"1,318","35 user,18 critic",Horror,,"Back in the 1800's a lady gives birth to a monster. They decide that the baby is too ugly to name, therefore the monster is known as the 'Unnamable'. The creature brutally slaughters his ..."
tt1498878,The Whisperer in Darkness,2011,19 May 2011 (USA),Sean Branney,"Sean Branney,Andrew Leman","Autumn Wendel,Barry Lynch,Stephen Blackehart","Autumn Wendel,Barry Lynch,Stephen Blackehart,Annie Abrams,Conor Timmis,Adrianne Grady,P.J. King,Zack Gold,Casey Kramer,Andrew Leman,Matt Lagan,Joe Sofranko,Sean Branney,Portia Backus,Lance J. Holt",English,USA,103 min,6.6,"1,692","24 user,31 critic","Mystery,Sci-Fi,Thriller",,"In 1931 H.P. Lovecraft wrote his classic tale of alien horror, 'The Whisperer in Darkness'. Lovecraft is now considered one of America's foremost writers of horror fiction, standing alongside the likes of Stephen King and Edgar Allan Poe."
tt0478988,The Call of Cthulhu,2005,7 October 2005 (USA),Andrew Leman,"H.P. Lovecraft,Sean Branney","Matt Foyer,John Bolen,Ralph Lucas","Matt Foyer,John Bolen,Ralph Lucas,Chad Fifer,Susan Zucker,Kalafatic Poole,John Klemantaski,Jason Owens,D. Grigsby Poland,David Mersault,Barry Lynch,Dan Novy,Daryl Ball,John Joly,Jason Peterson","English,French,Spanish,Italian,German",USA,47 min,7.4,"5,919","96 user,59 critic","Fantasy,Horror,Mystery","Glendale, California, USA","While sorting the affairs of his late Uncle, a man accidentally stumbles across a series of dark secrets connected to an ancient horror waiting to be freed."
tt2608324,Manhattan Romance,2015,2 October 2015 (USA),Tom O'Brien,Tom O'Brien,"Jessie Barr,Louis Cancelmi,Margaret Daly","Jessie Barr,Louis Cancelmi,Margaret Daly,Caitlin FitzGerald,Zach Grenier,Gaby Hoffmann,Ellen McLaughlin,Paul Niebanck,Paul O'Brien,Tom O'Brien,Joe Roseto,Ean Sheehy,Katherine Waterston",English,USA,94 min,5.6,96,"1 user,4 critic","Comedy,Drama,Romance","New York City, New York, USA","Danny, a commercial editor and documentary filmmaker attempts to finish his film, a study on relationship while navigating the relationships in his own life. Will he continue to chase the ..."
tt0161492,The Dentist 2,1998,11 December 1998 (USA),Brian Yuzna,"Richard Dana Smith,Dennis Paoli","Corbin Bernsen,Jillian McWhirter,Jeff Doucette","Corbin Bernsen,Jillian McWhirter,Jeff Doucette,Susanne Wright,Jim Antonio,Lee Dawson,Wendy Robie,Ralph P. Martin,Clint Howard,Linda Hoffman,Judy Nazemetz,Audra Wise,Mary Coleston,Rende Rae Norman",English,USA,100 min,4.2,"2,499","43 user,31 critic","Horror,Thriller","Rossmore Ave. Los Angeles, California, USA","Dr. Caine, the murdering dentist from the original movie, has escaped from the mental hospital where he has been since being caught. Hoping to resume a normal life, he makes his way to a ..."
tt0167350,Progeny,1998,30 March 1999 (USA),Brian Yuzna,"Stuart Gordon,Aubrey Solomon","Arnold Vosloo,Jillian McWhirter,Brad Dourif","Arnold Vosloo,Jillian McWhirter,Brad Dourif,Lindsay Crouse,Wilford Brimley,Willard E. Pugh,David Wells,Jan Hoag,Lydia De Luccia,Don Calfa,Timilee Romolini,Nora Paradiso,Patty Toy,Susan Ripaldi,John Moskal Jr.",English,USA,98 min,4.7,"1,091","36 user,18 critic","Horror,Sci-Fi,Thriller","Los Angeles, California, USA",An unsuspecting woman is impregnated by aliens who are experimenting on the human population.
tt2102475,Wolf,2012,11 March 2012 (USA),Ya'Ke Smith,Ya'Ke Smith,"Selena Aguilar,Pedro Castaneda,Jordan Cooper","Selena Aguilar,Pedro Castaneda,Jordan Cooper,Mikala Gibson,Irma P. Hall,Amelia Jeffries,Shelton Jolivette,Eugene Lee,Tim Newkirk,Xavier Ramirez,Monique Straw,Gabi Walker,Nikki Young",English,USA,,8.1,87,"14 user,5 critic","Drama,Family","San Antonio, Texas, USA","A family is shaken to the core when they discover that their son has been molested. As they struggle to deal with the betrayal, their son heads towards a total mental collapse because of his love for his abuser."
tt0107953,Return of the Living Dead III,1993,25 February 1994 (Brazil),Brian Yuzna,John Penney,"Kent McCord,James T. Callahan,Sarah Douglas","Kent McCord,James T. Callahan,Sarah Douglas,Melinda Clarke,Abigail Lenz,J. Trevor Edmond,Jill Andre,Michael Decker,Billy Kane,Mike Moroff,Julian Scott Urena,Pía Reyes,Sal Lopez,Dana Lee,Michael Deak","English,Spanish","USA,Japan",97 min,5.9,"9,529","127 user,46 critic","Horror,Romance","Los Angeles, California, USA","Having recently witnessed the horrific results of a top secret project to bring the dead back to life, a distraught youth performs the operation on his girlfriend after she's killed in a motorcycle accident."
bucket_of_blood,A Bucket of Blood,1958 1959 1960,"Oct 21, 1959 Wide",Roger Corman,Charles B. Griffith,"Dick Miller,Barboura Morris,Antony Carbone","Dick Miller,Barboura Morris,Antony Carbone,Julian Burton,Ed Nelson,John Brinkley,John Herman Shaner,Judy Bamber,Myrtle Vail,Bert Convy,Jhean Burton,Bruno VeSota,Lynn Storey",English,USA,1 hr. 6 min.,6.8/10,"3,755","69 user,54 critic","Horror,Mystery & Suspense,Comedy","Los Angeles, California, USA","A fine example -- perhaps the best available -- of 'B'-movie overlord Roger Corman's 'Weekend Wonders' from the producer/director's early career (see also the original Little Shop of Horrors), this horror-comedy was also the first of beloved actor Dick Miller's dozen-odd portrayals of the character Walter Paisley. A geeky waiter and busboy at a happening Beatnik café, Walter is intensely jealous of the swinging social lives of the artistic types who hang there. A bizarre twist of fate changes,everything; when Paisley accidentally kills his landlady's cat, his frantic attempts to hide the body lead him to encase it in a layer of clay, creating a morbid sculpture -- which is eventually discovered and hailed as an artistic triumph by the unwitting Bohemian art crowd. (When asked what he's named the piece, the befuddled Walter stammers, 'Uhh... Dead Cat?') Beset by numerous requests for similar 'truthful' works, the moronic Paisley is forced to find inspiration -- a matter which is readily solved when a nosy undercover cop tries to slap a heroin-possession charge on him and finds himself on the business end of a cast-iron skillet. Before long, the creative urge prods Walter to narrow the competition by whacking his peers with various blunt or sharp implements, and the demand for more sculptures just keeps growing. Miller's tour-de-force performance, writer Charles B. Griffith's hilarious 'Daddy-O' dialogue, and Corman's emphasis on the story's more lurid aspects raise this bargain-basement production (ultra-cheap even by Corman's standards) to classic status."
tt2400441,Susie's Hope,2013,1 May 2014 (USA),Jerry Rees,"Jerry Rees,Dan A.R. Kelly","Emmanuelle Vaugier,Burgess Jenkins,Andrea Powell","Emmanuelle Vaugier,Burgess Jenkins,Andrea Powell,Willette Thompson,Gregory Waller,Megan Blake,Lee Armstrong,Dave Blamy,Vonii Bristow,Brandy Renee Brown,Lacy Camp,Jim Dadosky,Lee Darnell,Wendy L. Foster,Tamara Hopkins",English,USA,105 min,7.8,168,10 user,"Drama,Family","Winston-Salem, North Carolina, USA","A survivor of a pit bull attack, Donna Lawrence, adopts a pit bull-mix puppy, Susie, that has been beaten, set on fire, and left for dead. Together, they lead a historic effort to seek justice and protection for all animals."
tt0100369,The Pit and the Pendulum,1991,27 June 1991 (USA),Stuart Gordon,"Edgar Allan Poe,Dennis Paoli","Lance Henriksen,Stephen Lee,William J. Norris","Lance Henriksen,Stephen Lee,William J. Norris,Mark Margolis,Carolyn Purdy-Gordon,Barbara Bocci,Benito Stefanelli,Jeffrey Combs,Tom Towles,Rona De Ricci,Jonathan Fuller,Geoffrey Copleston,Larry Dolgin,Tunny Piras,Fabio Carfora",English,USA,97 min,6.2,"2,647","32 user,28 critic",Horror,"Castello di Giove, Giove, Terni, Umbria, Italy","It is the time of the Spanish Inquisition. Maria does not like what is going on during the 'Auto De Fe'. When she speaks out, she is arrested and accused of being a witch. Torquemada has ..."
tt0478126,Cthulhu,2007,14 June 2007 (USA),Dan Gildark,"Grant Cogswell,Grant Cogswell","Jason Cottle,Casey Curran,Ethan Atkinson","Jason Cottle,Casey Curran,Ethan Atkinson,Patrick McKnight,Cara Buono,Dennis Kleinsmith,Joe Shapiro,Ruby Wood,Hunter Stroud,Keifer Grimm,Rob Hamm,Scott Patrick Green,Nancy Stark,Tom Prince,Richard Garfield",English,USA,100 min,4.7,"1,465","52 user,25 critic","Drama,Horror,Thriller","Astoria, Oregon, USA","A Seattle history professor, drawn back to his estranged family on the Oregon coast to execute his late mother's estate, is reaquainted with his best friend from childhood, with whom he has..."
tt0099180,Bride of Re-Animator,1989,8 July 1990 (UK),Brian Yuzna,"Rick Fry,Woody Keith","Jeffrey Combs,Bruce Abbott,Claude Earl Jones","Jeffrey Combs,Bruce Abbott,Claude Earl Jones,Fabiana Udenio,David Gale,Kathleen Kinmont,Mel Stewart,Irene Cagen,Michael Strasser,Mary Sheldon,Marge Turner,Johnny Legend,David Bynum,Noble Craig,Kim Parker",English,USA,96 min,6.2,"8,739","62 user,58 critic","Comedy,Horror,Sci-Fi",,Doctors Herbert West and Dan Cain discover the secret to creating human life and proceed to create a perfect woman from dead tissue.
tt0089885,Re-Animator,1985,18 October 1985 (USA),Stuart Gordon,"H.P. Lovecraft,Dennis Paoli","Jeffrey Combs,Bruce Abbott,Barbara Crampton","Jeffrey Combs,Bruce Abbott,Barbara Crampton,David Gale,Robert Sampson,Gerry Black,Carolyn Purdy-Gordon,Peter Kent,Barbara Pieters,Ian Patrick Williams,Bunny Summers,Al Berry,Derek Pendleton,Gene Scherer,James Ellis","English,German",USA,104 min,7.3,"36,239","199 user,189 critic","Comedy,Horror,Sci-Fi","Los Angeles, California, USA",A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.
tt3532976,The Current,2014,January 2014 (USA),Nikita Zubarev,Scott A. Peterson,"B. Bradenton Harper,Blade Yocum,Dariush Moslemi","B. Bradenton Harper,Blade Yocum,Dariush Moslemi,David Daniel Harper,Jana K. Lensing,William Studer,Chari Eckmann,Jade Cook,Allen Fredrick Voigt,Elizabeth McCormick,Quintin Walker,Chaos Bebault,Sue Gerver,Nikita Zubarev,Don Metke",English,USA,85 min,8.2,88,4 user,"Drama,Family","Minneapolis, Minnesota, USA",Jake loves living in Chicago but when big city violence hits a little too close to home his parents buy a campground in rural Minnesota and move the family there. Jake hates living at the ...
tt0083943,Firefox,1982,18 June 1982 (USA),Clint Eastwood,"Alex Lasker,Wendell Wellman","Clint Eastwood,Freddie Jones,David Huffman","Clint Eastwood,Freddie Jones,David Huffman,Warren Clarke,Ronald Lacey,Kenneth Colley,Klaus Löwitsch,Nigel Hawthorne,Stefan Schnabel,Thomas Hill,Clive Merrison,Kai Wulff,Dimitra Arliss,Austin Willis,Michael Currie","English,Russian",USA,136 min,5.9,"18,677","96 user,39 critic","Action,Adventure,Sci-Fi","March AFB, California, USA",A pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by a neuralink
tt0070672,The Seven-Ups,1973,14 December 1973 (USA),Philip D'Antoni,"Albert Ruben,Alexander Jacobs","Roy Scheider,Tony Lo Bianco,Victor Arnold","Roy Scheider,Victor Arnold,Jerry Leon,Ken Kercheval,Tony Lo Bianco,Larry Haines,Richard Lynch,Bill Hickman,Lou Polan,Matt Russo,Joe Spinell,Robert Burr,Rex Everhart,David Wilson,Ed Jordan",English,USA,103 min,6.8,"2,765","63 user,27 critic","Action,Crime,Drama","Weehawken Port Imperial, Port Imperial Boulevard, Weehawken, New Jersey, USA","A tough detective who is part of an elite New York City unit is trying to find out who killed his partner, but uncovers a plot to kidnap mobsters for money."
tt0090567,52 Pick-Up,1986,7 November 1986 (USA),John Frankenheimer,"Elmore Leonard,Elmore Leonard","Roy Scheider,Ann-Margret,Vanity","Roy Scheider,Ann-Margret,Vanity,John Glover,Robert Trebor,Lonny Chapman,Kelly Preston,Doug McClure,Clarence Williams III,Alex Henteloff,Michelle Walker,Philip Bartko,Tom Byron,Herschel Savage,Ron Jeremy",English,USA,110 min,6.4,"3,094","45 user,49 critic","Crime,Thriller","14312 Western Ave, Los Angeles, California, USA",A secret fling between a man and his mistress leads to blackmail and murder.
